SGC,Area Name,Year,Level,Sex,Total,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90+
59,BC,1971,ID,1,1133002,,17921,18427,18230,17864,18760,19148,21489,22386,23387,23189,23160,23563,22912,22952,22039,22387,21897,21207,20749,20117,19619,19662,19644,20316,20468,17752,17140,18177,17068,16663,15258,14664,14166,14076,13481,13868,13555,13766,13908,14228,14146,14243,13752,13515,13439,13125,13078,13233,12624,13312,12677,12415,10659,10178,10453,10770,11350,10992,10344,9945,9088,8972,8391,8324,7872,7657,7372,6902,6500,6264,5720,5323,4673,4282,3969,3734,3570,3429,3306,3060,2772,2744,2526,2332,1928,1732,1594,1298,1028,810,2317
59,BC,1972,ID,1,1162776,,17555,18393,18944,18694,18266,19111,19476,21746,22701,23747,23489,23613,24039,23292,23261,22353,22822,22399,21734,21449,20806,20358,20461,20366,21042,21249,18322,17657,18639,17510,16915,15567,14903,14373,14263,13662,14061,13734,13954,14087,14364,14294,14329,13831,13605,13522,13233,13160,13314,12691,13346,12710,12491,10669,10205,10483,10768,11358,10959,10325,9905,9066,8951,8391,8304,7841,7633,7303,6809,6402,6113,5571,5135,4496,4097,3767,3520,3376,3222,3074,2821,2535,2487,2254,2060,1685,1491,1363,1109,863,2462
59,BC,1973,ID,1,1194336,,17530,17889,18934,19446,19156,18660,19469,19800,22032,23067,24136,23821,24145,24536,23682,23617,22748,23318,22980,22356,22163,21524,21149,21300,21128,21816,22087,18859,18176,19027,17951,17141,15908,15181,14658,14482,13895,14296,13951,14157,14305,14531,14461,14454,13907,13718,13624,13387,13260,13369,12743,13408,12752,12565,10686,10242,10523,10788,11370,10914,10328,9904,9079,8950,8382,8264,7803,7564,7207,6661,6264,5943,5423,4960,4325,3888,3568,3311,3168,3009,2825,2577,2295,2236,1991,1801,1442,1263,1164,935,2628
59,BC,1974,ID,1,1231242,,17567,17947,18410,19582,20053,19704,19134,19892,20175,22403,23542,24603,24245,24699,25071,24127,24039,23200,23911,23743,23145,23124,22528,22268,22468,22132,22783,23040,19569,18758,19527,18435,17425,16280,15543,14990,14775,14183,14582,14190,14387,14523,14719,14686,14596,14039,13875,13771,13539,13346,13438,12832,13488,12830,12658,10706,10270,10574,10804,11391,10912,10367,9927,9098,8945,8394,8259,7745,7477,7081,6518,6117,5786,5248,4754,4127,3675,3364,3109,2946,2775,2603,2333,2056,1997,1748,1545,1220,1062,967,2823
59,BC,1975,ID,1,1258220,,18264,17672,18237,18754,20074,20505,20120,19496,20186,20480,22705,23919,24993,24541,25133,25518,24517,24340,23507,24290,24165,23612,23737,23169,23006,23186,22723,23355,23722,19936,19134,19769,18729,17533,16555,15732,15181,14909,14314,14703,14294,14481,14631,14802,14776,14648,14051,13931,13781,13536,13284,13399,12815,13472,12812,12668,10640,10243,10537,10725,11352,10853,10352,9883,9054,8896,8336,8155,7618,7301,6910,6320,5934,5548,5045,4515,3892,3424,3128,2863,2700,2521,2336,2081,1800,1731,1499,1322,1020,870,3014
59,BC,1976,ID,1,1272833,,17931,17892,17696,18277,18867,20276,20626,20275,19729,20292,20795,22733,24146,25126,24705,25482,25750,24789,24410,23642,24270,24285,23770,23972,23417,23286,23403,22894,23564,23794,20205,19324,19597,18813,17380,16639,15741,15209,14858,14363,14636,14279,14446,14651,14727,14775,14527,13995,13860,13655,13472,13188,13258,12858,13315,12762,12510,10646,10201,10418,10615,11224,10760,10334,9758,9011,8770,8232,7935,7437,7107,6694,6107,5706,5282,4852,4243,3660,3174,2890,2626,2475,2276,2079,1818,1574,1488,1292,1086,827,3099
59,BC,1977,ID,1,1289008,,18523,18099,18135,17863,18401,18989,20431,20770,20419,19868,20400,20996,22980,24381,25288,24838,25550,25868,24952,24634,23868,24450,24322,23827,23988,23462,23410,23540,23076,23737,24058,20277,19331,19634,18880,17388,16744,15871,15389,14963,14473,14693,14274,14366,14573,14709,14771,14536,13941,13825,13618,13446,13155,13210,12746,13251,12720,12499,10537,10077,10328,10551,11167,10674,10208,9586,8835,8627,8029,7725,7209,6850,6423,5855,5431,4989,4563,3969,3410,2930,2660,2389,2262,2007,1867,1597,1388,1280,1114,920,3145
59,BC,1978,ID,1,1309956,,18685,18668,18335,18404,18085,18593,19178,20651,20961,20623,20060,20539,21233,23277,24668,25527,25085,25741,26140,25278,25033,24372,24843,24556,24148,24237,23697,23628,23832,23302,24029,24341,20397,19384,19772,18950,17508,16955,16047,15585,15134,14572,14782,14318,14314,14540,14701,14817,14564,13928,13824,13578,13431,13128,13190,12656,13199,12660,12484,10417,10014,10291,10519,11137,10584,10080,9438,8687,8467,7813,7544,6988,6628,6165,5597,5127,4694,4282,3686,3135,2689,2407,2170,2012,1783,1629,1375,1183,1083,921,3244
59,BC,1979,ID,1,1332918,,19316,18764,18898,18591,18681,18301,18768,19357,20861,21165,20836,20244,20702,21503,23603,24983,25786,25320,25956,26466,25617,25509,24851,25151,24795,24477,24509,23937,23953,24078,23552,24270,24573,20500,19508,19868,19090,17667,17171,16228,15811,15262,14687,14882,14351,14304,14522,14746,14880,14646,13928,13831,13600,13450,13135,13208,12593,13145,12659,12498,10360,10011,10254,10459,11112,10509,9986,9266,8499,8333,7608,7315,6745,6383,5899,5353,4870,4428,3954,3400,2860,2454,2179,1972,1792,1567,1436,1181,997,900,3293
59,BC,1980,ID,1,1372911,,19917,19599,19166,19415,19144,19268,18823,19264,19834,21358,21681,21304,20710,21130,22002,24202,25587,26344,25876,26542,27104,26425,26348,25686,25932,25549,25346,25232,24745,24702,24799,24129,24854,25175,20943,19843,20308,19508,18062,17559,16609,16165,15567,14959,15112,14540,14376,14652,14868,15031,14786,14024,13936,13683,13545,13252,13314,12612,13217,12753,12613,10387,10022,10274,10478,11150,10515,9921,9169,8360,8215,7391,7114,6482,6155,5638,5084,4604,4161,3696,3129,2625,2240,1957,1757,1580,1351,1249,1027,840,3311
59,BC,1981,ID,1,1413338,,20490,20276,19932,19567,19815,19647,19737,19324,19651,20261,21734,22017,21680,21165,21480,22597,24765,26225,26903,26748,27266,27945,27462,27359,26839,26883,26406,26242,25985,25423,25404,25319,24679,25358,25488,21456,20292,20631,19840,18444,17941,16944,16540,15835,15248,15319,14721,14500,14711,14988,15159,14966,14204,14008,13763,13672,13388,13379,12718,13203,12866,12604,10505,10066,10277,10504,11074,10459,9796,8966,8150,8010,7149,6829,6203,5865,5349,4837,4318,3871,3394,2860,2359,2026,1742,1550,1382,1158,1063,872,3292
59,BC,1982,ID,1,1437378,,21672,20640,20509,20163,19726,19985,19798,19867,19433,19789,20424,21964,22295,21948,21343,21650,22724,24976,26530,27279,27082,27612,28183,27711,27652,27139,27197,26801,26652,26317,25712,25617,25562,24881,25512,25690,21580,20416,20778,19955,18509,17978,16904,16487,15806,15256,15320,14717,14517,14750,15034,15245,15009,14291,14065,13828,13699,13421,13380,12676,13228,12896,12639,10423,10021,10209,10364,10946,10266,9601,8713,7920,7741,6927,6531,5933,5551,5032,4515,3950,3546,3076,2617,2142,1765,1519,1366,1190,975,891,3229
59,BC,1983,ID,1,1451589,,21712,21678,20705,20617,20243,19735,20004,19791,19830,19401,19832,20476,22088,22504,22135,21468,21718,22786,25024,26497,27349,27078,27550,27952,27527,27549,27055,27178,26876,26695,26353,25688,25548,25511,24812,25479,25682,21505,20377,20749,19927,18416,17851,16785,16332,15686,15177,15262,14671,14521,14791,15034,15274,15029,14331,14123,13861,13721,13415,13330,12649,13219,12867,12615,10350,9907,10130,10213,10769,10004,9369,8461,7661,7418,6628,6179,5640,5209,4759,4210,3638,3248,2810,2369,1904,1552,1331,1168,996,808,3214
59,BC,1984,ID,1,1470135,,22105,21700,21721,20821,20768,20390,19836,20075,19829,19867,19437,19905,20569,22245,22763,22366,21672,21871,22897,25166,26655,27599,27328,27671,28034,27615,27669,27134,27287,27037,26804,26471,25748,25584,25550,24822,25477,25757,21479,20363,20772,19927,18362,17798,16680,16223,15592,15107,15246,14654,14532,14788,15032,15306,15034,14355,14161,13891,13706,13389,13300,12614,13190,12829,12584,10254,9835,10011,10006,10573,9761,9104,8189,7350,7107,6320,5840,5362,4885,4450,3887,3314,2910,2510,2113,1674,1348,1159,994,842,3178
59,BC,1985,ID,1,1482384,,22149,21872,21640,21686,20839,20837,20475,19832,20087,19839,19817,19413,19953,20625,22374,22956,22565,21797,21927,22857,25060,26585,27525,27245,27530,27814,27392,27537,26965,27218,26990,26699,26397,25598,25408,25469,24739,25410,25790,21374,20276,20714,19881,18246,17693,16549,16080,15485,15049,15153,14603,14515,14802,15035,15337,15047,14374,14190,13912,13683,13349,13259,12550,13149,12771,12530,10128,9737,9873,9777,10316,9485,8805,7912,7062,6768,6026,5523,5021,4556,4112,3538,3014,2616,2230,1881,1416,1162,983,825,3101
