Municipality,Year,pct_25-39
Surrey,1996,21
Surrey,2016,25
UBC/UEL,1996,19
UBC/UEL,2016,35
New Westminster,1996,25
New Westminster,2016,30
Langley (D),1996,28
Langley (D),2016,22
Vancouver,1996,28
Vancouver,2016,31
Burnaby,1996,22
Burnaby,2016,26
Port Moody,1996,19
Port Moody,2016,28
Richmond,1996,29
Richmond,2016,32
Maple Ridge,1996,18
Maple Ridge,2016,23
Pitt Meadows,1996,18
Pitt Meadows,2016,26
Langley (City),1996,21
Langley (City),2016,25
North Vancouver (City),1996,22
North Vancouver (City),2016,31
Port Coquitlam,1996,19
Port Coquitlam,2016,29
Delta,1996,14
Delta,2016,21
West Vancouver,1996,9
West Vancouver,2016,14
White Rock,1996,11
White Rock,2016,19
North Vancouver (D),1996,14
North Vancouver (D),2016,21
Lions Bay,1996,11
Lions Bay,2016,19
